Model,Test R2,CV (5-fold) R2
LinearRegression,0.583685971833874,0.6358872018740704
Ridge(alpha=1),0.5836856585107424,0.635887579676723
Lasso(alpha=0.1),0.5806223673723465,0.6316560790654847
SVR-RBF,0.5778169663390442,0.6264297714761046
RandomForest(100),0.516079767730483,0.5009737368569882
