POI,count_true,pct_true
Traffic_Signal,70499,15.602750549423797
Crossing,52102,11.531149507455122
Junction,33778,7.47570473422938
Stop,12764,2.824912523764101
Station,11689,2.58699486761819
Amenity,5625,1.2449179682053484
Railway,3972,0.8790780746154034
Give_Way,2217,0.49066366853533466
No_Exit,1137,0.25163941863990774
Traffic_Calming,420,0.09295387495933267
Bump,185,0.04094396873208701
Roundabout,10,0.0022131874990317306
Turning_Loop,0,0.0
