Weather_Class,1,2,3,4
Clear/Fair,1.1065903943494981,80.00993093943647,16.312581385568723,2.5708972806453083
Other,0.8729802093280158,76.16881050010298,20.351438896066206,2.606770394502799
Rain,0.6813138731756102,74.22258336719068,22.452104884832952,2.643997874800762
Snow,0.0791765637371338,77.683519963805,18.730912792670512,3.5063906797873545
